rowid,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
12792,DEU,Germany,Franken 1,WRI1005681,823.0,49.4208,11.0077,Gas,,,,,E.ON Kraftwerke GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,1017811,,,,400.634,230.636,434.319,,,JRC-PPDB-OPEN,,,,,3189.45,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12810,DEU,Germany,GHD,WRI1005695,13.4,48.6403,12.4634,Gas,,,,1998.0,GHD Bayernwerk Natur GmbH & Co. KG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,51.93,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12812,DEU,Germany,GKL,WRI1005698,230.0,52.3729,9.7142,Gas,,,,,Stadtwerke Hannover AG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,134.167,,,,ENTSOE,,,,,891.34,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12816,DEU,Germany,GTKW Darmstadt,WRI1005709,94.6,49.8849,8.6501,Gas,,,,2013.0,HEAG Südhessische Energie AG (HSE),Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,1039668,,,,,,,,,,,,,,366.61,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12817,DEU,Germany,GUD-Anlage DREWSEN,WRI1005720,13.0,52.6235,10.2457,Gas,,,,2000.0,DREWSEN SPEZIALPAPIERE GmbH & Co.KG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,50.38,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12833,DEU,Germany,Gemeinschaftskraftwerk Irsching,WRI1005691,1391.0,48.767,11.58,Gas,,,,,Gemeinschaftskraftwerk Irsching GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,1019813,,,,567.611,204.757,133.487,,,JRC-PPDB-OPEN,,,,,5390.68,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12836,DEU,Germany,Gersteinwerk,WRI1005694,2004.5,51.6725,7.7099,Gas,,,,,RWE Generation SE,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,1032926,,,,,2524.903,,,,ENTSOE,,,,,7768.23,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12879,DEU,Germany,GuD,WRI1005710,100.0,51.2214,6.7313,Gas,,,,2000.0,Stadtwerke Düsseldorf AG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,1099830,,,,,,,,,,,,,,387.54,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12880,DEU,Germany,GuD Anlage WVK,WRI1005711,60.1,48.0202,7.8452,Gas,,,,1998.0,Solvay Acetow GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,232.91,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12881,DEU,Germany,GuD Baunatal  VW Werksgelände,WRI1005712,78.0,51.2531,9.4379,Gas,,,,2013.0,Volkswagen AG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,302.28,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
